Pollutant,Averaging Period,Rwanda Standards (µg/m3),WHO Standards (µg/m3),Citation
Carbon monoxide (CO),1.0 hours,30000.0,30000.0,[2]
Carbon monoxide (CO),8.0 hours,10000.0,10000.0,[2]
Sulphur dioxide (SO2),10.0 minutes,500.0,500.0,[2]
Sulphur dioxide (SO2),24.0 hours,125.0,125.0,[2]
Ozone (O3),1.0 hour,200.0,200.0,[2]
Ozone (O3),8.0 hours daily maximum,120.0,120.0,[2]
Nitrogen dioxide (NO2),1.0 hour,200.0,200.0,[2]
Nitrogen dioxide (NO2),Annual,40.0,40.0,[3]
Particulate matter (PM2.5),24.0 hours,75.0,75.0,[3]
Particulate matter (PM2.5),Annual,35.0,35.0,[3]
Particulate matter (PM10),24.0 hours,100.0,100.0,[3]
Particulate matter (PM10),Annual,50.0,50.0,[3]
